Shop_name,Product_name,Product_ID,Total_Rating_Product,Total_Review_Product,Total_sold,Gia_Goc,Gia_Sau_Km,Discount,Shop_ID
20SILK,"Yêu thíchÁo Khoác Bomber Unisex, Áo Bomber 2 lớp form rộng Roalty, Chất liệu kaki dày dặn",13443055864,4.8,"2,6k","6,4k",none,₫270.000,none,1
20SILK,Yêu thíchÁo Cardigan Nam Áo Khoác Ngoài Chất Liệu Dày Dặn Sang Trọng,4780773429,4.7,"5,9k","17,7k",₫235.000 - ₫298.000,₫119.000 - ₫159.000,49% giảm,1
20SILK,"Yêu thíchÁo khoác gió nam-nữ 2 lớp 𝐂𝐨́ 𝐓𝐮́𝐢 𝐓𝐫𝐨𝐧𝐠, Áo khoác dù chất liệu vải gió cao cấp kháng nước full tem tag phụ kiện",18684759804,5.0,"7,8k","23,4k",₫310.000,₫141.000,55% giảm,1
20SILK,"Yêu thíchSet Bộ quần áo Unisex Nam Nữ, Bộ Sơ mi cộc form rộng in họa tiết cực xinh",2980853656,4.9,"3,4k","10,1k",₫278.000,₫149.000 - ₫165.000,46% giảm,1
20SILK,"Yêu thíchSet bộ mùa hè phù hợp đi chơi, đi biển, mặc đôi, Bộ Quần áo sơ mi hình in lạ mắt mang phong cách riêng cho bạn",14364971804,4.9,560,"2,1k",₫298.000,₫149.000 - ₫165.000,50% giảm,1
20SILK,"Yêu thíchÁo khoác sơ mi nam chất liệu kaki cao cấp, áo sơ mi in chữ RIF ROCK IN C.H.A. làm điểm nhấn",22246240023,4.9,"1,9k","7,3k",₫278.000,₫145.000,48% giảm,1
20SILK,"Yêu thíchQuần Short túi hộp chất liệu kaki, Quần đùi thể thao phong cách Hàn Quốc nam nữ mặc cực chất",13398960381,4.9,"1,8k","7,7k",₫198.000,₫95.040,52% giảm,1
20SILK,"Yêu thíchQuần thể thao 2 sọc nam nữ cao cấp logo ""𝐄𝐒𝐒𝐄𝐍𝐓𝐈𝐀𝐋𝐒"", Quần ống rộng dáng suông chất vải Xleo chống nhăn, không xù lông",18193043651,5.0,"6,4k","25,4k",₫180.000,₫92.000,49% giảm,1
Insomnia Official,Yêu thíchÁo Sơ Mi Ngắn Tay INSOMNIA Local Brand Unisex Oxford Shirt - TS012,24301632969,4.9,265.0,"1,2k",₫280.000,₫159.000,43% giảm,2
Insomnia Official,"Yêu thíchÁo Thun Waffle INSOMNIA Unisex ""Double Line"" - TS011",23184465099,4.9,357.0,"1,6k",₫250.000,₫128.200,49% giảm,2
Insomnia Official,Yêu thíchCombo Set Bộ INSOMNIA Unisex Áo Thun Waffle + Quần Short Waffle CB003,19085631763,4.9,"1,7k","7,4k",₫350.000,₫185.200 - ₫245.000,47% giảm,2
Insomnia Official,"Yêu thíchQuần short nỉ LocalBrand Insomnia ""SIGNATURE SHORT"" #5 color",18767026989,4.8,"2,3k","10,9k",₫180.000,₫99.000,45% giảm,2
Insomnia Official,Yêu thích[Xả Kho - Giao Màu Ngẫu Nhiên] Quần Ngủ Nam THE 1991 Quần Đùi Nam Mặc Nhà,5033438406,4.9,"2,4k","21,7k",₫100.000,₫65.000,35% giảm,2
Insomnia Official,Yêu thíchQuần Dài Kaki Túi Hộp INSOMNIA Unisex Nam Nữ Local Brand Co Giãn Tốt,22155610064,4.9,379,"1,4k",₫320.000,₫215.000,33% giảm,2
Insomnia Official,"Yêu thích[Nhập INSOMHD giảm 30K] Áo Hoodie Zip Form Basic INSOMNIA Local Brand Unisex ""LOGO TAG"" - HD003",23253798714,4.9,619,"1,7k",₫390.000,₫195.000,50% giảm,2
Insomnia Official,"Yêu thíchÁo Hoodie Zip INSOMNIA Local Brand Unisex ""LOGO TAG"" - HD002",23475980891,4.9,"2,6k","7,8k",₫390.000,₫215.000,45% giảm,2
Insomnia Official,"Yêu thíchQuần short kaki LocalBrand Insomnia ""SIGNATURE SHORT"" #5 color",22915701707,4.9,"6,6k","34,2k",₫180.000,₫99.000,45% giảm,2
Insomnia Official,Yêu thíchCombo 2 Quần Short Kaki INSOMNIA Unisex Form Ngắn Trên Gối - CB002,19794493657,4.9,2k,"7,9k",₫360.000,₫210.000,42% giảm,2
Insomnia Official,Yêu thíchQuần Short Kaki Túi Hộp Insomnia Local Brand Unisex - PS002,22472645794,4.9,"1,4k","5,9k",₫280.000,₫118.800 - ₫155.000,58% giảm,2
ALEX COOL,"Áo thun nam, áo phông nam tay ngắn cổ tròn chất thun lạnh co giãn 4 chiều hình thành phố alex cool",16829273347,4.6,"18,6k","71,9k",₫95.000,₫55.000 - ₫64.900,42% giảm,3
ALEX COOL,Quần đùi nam vải gió mát co giãn nhẹ mát thể thao màu trơn alex cool,16765057910,4.4,"1,3k","5,7k",₫78.000,₫45.000,42% giảm,3
ALEX COOL,"Áo thun nam, áo phông nam tay ngắn cổ tròn chất cotton thun lạnh co giãn 4 chiều hình 528 alex cool",22235503537,4.3,"3,3k","15,5k",₫79.000,₫64.900,18% giảm,3
ALEX COOL,"Áo thun nam, áo phông nam tay ngắn cổ tròn chất cotton co giãn 4 chiều alex cool",5985512275,4.6,"1,7k","6,5k",₫79.000,₫42.000,47% giảm,3
ALEX COOL,Áo thun nam nữ áo phông nam tay ngắn cổ tròn chất cotton co giãn 4 chiều hình gấu trúc panda alex cool,9352925885,4.7,"2,6k","7,8k",₫118.000,₫64.900,45% giảm,3
ALEX COOL,"Áo thun nam, áo phông nam tay ngắn cổ tròn chất thun lạnh co giãn 4 chiều hình mèo alex cool",16101271159,4.6,"1,4k",5k,₫95.000,₫64.900,32% giảm,3
ALEX COOL,"Áo thun nam, áo phông nam tay ngắn cổ tròn chất thun lạnh co giãn 4 chiều các mập bia chim alex cool",17629270738,4.6,742,"2,5k",₫95.000,₫64.900,32% giảm,3
ALEX COOL,"Áo thun nam, áo phông nam tay ngắn cổ tròn chất thun cotton co giãn 4 chiều hình wantelu alex cool",8769313844,4.5,"6,7k","28,5k",₫78.000,₫64.900,17% giảm,3
ALEX COOL,"Áo thun nam, áo phông nam tay ngắn cổ tròn chất thun cotton co giãn 4 chiều hình chim alex cool",5916964284,4.6,"5,6k","23,7k",₫95.000,₫64.900,32% giảm,3
ALEX COOL,"Áo thun nam, áo phông nam tay ngắn cổ tròn chất thun lạnh co giãn 4 chiều hình OXO alex cool",17461809099,4.6,736,"2,5k",₫88.000,₫64.900,26% giảm,3
ALEX COOL,"Áo hoodie, áo khoác hoodie nam nữ chất nỉ dày form rộng có mũ giá rẻ HOODIE577+578 - Alex Cool",23175605161,4.5,"2,6k","8,3k",₫119.000,₫89.900,24% giảm,3
ALEX COOL,"Áo thun nam, áo phông nam tay ngắn cổ tròn màu trơn chất thun lạnh co giãn 4 chiều alex cool",9961467200,4.5,788,3k,₫60.000,₫59.900,1% giảm,3
ENZO,"Áo khoác dù nam nữ Unisex cổ đứng ,Áo khoác gió form rộng chất vải dù gió 2 lớp đi mưa,cản gió,chống nắng _ENZO AD103",23106251499,4.8,368,"3,4k",none,₫190.000,none,4
ENZO,Áo khoác dù 7zia nam nữ chất vải dù gió 2 lớp form rộng cổ đứng cao cấp _ ENZO AD 70,23421572478,4.7,375,"3,2k",none,₫39.600 - ₫190.000,none,4
ENZO,Áo khoác dù 7ZIA nam nữ cổ đứng form rộng chất vải dù gió 2 lớp cao cấp_ENZO AD 72,21672346813,4.5,882,5k,none,₫39.600 - ₫190.000,none,4
ENZO,Áo sơ mi nam kyt sọc caro tay dài chất vải nỉ mềm cao cấp mẫu mới đang hót hiện nay_ENZO SM 100,23136450130,4.7,277,"3,4k",₫160.000,₫39.000,76% giảm,4
ENZO,(XẢ KHO 39K) Áo khoác dù nam nữ form rộng cổ đứng chất vải dù gió 2 lớp cao cấp _ ENZO AD 46,21511065981,4.7,"1,8k",8k,₫190.000,₫39.000,79% giảm,4
ENZO,(XẢ KHO 39K) Áo khoác dù TEELAB nam nữ cổ đứng form rộng chất vải dù gió 2 lớp cao cấp _ ENZO 76,20973079839,4.6,"1,3k","6,2k",₫190.000,₫39.000,79% giảm,4
ENZO,(XẢ KHO 39K) Áo khoác dù 7ZIA nam nữ cổ đứng form rộng chất vải dù gió 2 lớp cao cấp_ENZO AD 71,19972349290,4.6,"2,5k","10,7k",₫190.000,₫39.000,79% giảm,4
Litaia,Yêu thích+Áo sơ mi nam ngắn tay cổ bẻ túi hộp chất đũi xước cao cấp thời trang phong cách,8549369743,4.8,815,"2,7k",₫150.000,₫75.000,50% giảm,5
Litaia,Yêu thích+Quần thể thao nam nỉ dày dặn 3 sọc LITAIA Jogger 3 lines,7243592847,4.8,"2,9k","10,1k",₫120.000,₫75.000 - ₫79.000,38% giảm,5
Litaia,Yêu thích+QUẦN ĐŨI DÀI NAM QUẦN NAM THỜI TRANG ỐNG SUÔNG,4939650373,4.7,"4,9k","20,5k",₫130.000,₫89.000,32% giảm,5
Litaia,Yêu thích+Đồ bộ quần áo đũi nam cổ tròn chất vải đũi thái loại dày đẹp hàng hot trend,7564421340,4.8,"6,2k","21,3k",₫175.000,₫115.000 - ₫119.000,34% giảm,5
Litaia,Yêu thích+Áo thun nam Litaia Áo thể thao giữ nhiệt nam dài tay nhiều màu thiết kế trẻ trung năng động,7249324314,4.8,"9,3k","41,1k",₫42.000 - ₫100.000,₫35.000 - ₫59.000,17% giảm,5
Litaia,Yêu thích+Quần jogger thể thao nỉ nam nữ LITAIA Quần thun dài nam 3 sọc thu đông SB01,5842816324,4.8,17k,"79,3k",₫100.000,₫75.000 - ₫79.000,25% giảm,5
Litaia,"Yêu thích+Áo thể thao nam Litaia Áo thun nam cổ tròn chất thun lạnh co giãn 4 chiều form chuẩn mặc nhà, chơi thể thao",21921150264,4.9,439,"2,2k",₫70.000,₫59.000,16% giảm,5
Litaia,Yêu thích+Quần đùi gió thể thao nam nhiều màu có khóa kéo tiện lợi,4040325681,4.9,"3,9k","15,1k",₫50.000,₫35.000,30% giảm,5
Litaia,Yêu thích+QUẦN SHORT ĐŨI NGỐ NAM MÙA HÈ CO GIÃN NHẸ,5543215435,4.8,"9,6k","45,5k",₫100.000,₫69.000,31% giảm,5
Litaia,Yêu thích+Bộ quần áo thể thao nam cộc tay chất cotton xốp thái mềm mịn thoáng mát mặc nhà đi chơi BỘ BẮP hàng đẹp,8858625571,4.9,"1,5k","4,6k",₫180.000,₫129.000,28% giảm,5
Litaia,Yêu thích+Bộ Mặc Nhà Thể Thao Nam Mùa Hè Phong Cách SPORT,10706896010,4.9,607,"2,1k",₫150.000,₫85.000,43% giảm,5
Litaia,Yêu thích+Áo Sát Nách Thể Thao Nam Áo Ba Lỗ Tanktop Form Chuẩn,8514121006,4.9,810,"3,3k",₫70.000,₫55.000,21% giảm,5
Litaia,Yêu thích+Bộ thể thao nam cộc tay phối viền sọc chất cotton cá sấu phong cách trẻ trung năng động mặc nhà chơi thể thao cực đẹp,13491382614,4.9,388,"1,3k",₫180.000,₫129.000,28% giảm,5
Litaia,Yêu thích+Bộ Thể Thao Nam Cổ Tròn Tay Ngắn Chất Liệu Thun Lạnh Coolmax Thấm Hút Mồ Hôi Tốt Full size 45-95kg,22070164313,4.9,"2,6k",14k,₫179.000,₫109.000,39% giảm,5
Litaia,Yêu thích+Đồ Bộ Quần Áo Thể Thao Nam Mùa Hè Chất Thun Lạnh Co Giãn 4 Chiều 5 Màu SPORT,3010166114,4.9,"17,7k",77k,₫130.000,₫79.000 - ₫85.000,39% giảm,5
Nice Clothes.,Yêu thích+Quần short nam essential chất umi thể thao mặc thoáng mát,16240228832,4.8,"16,8k",73k,₫90.000,₫45.000,50% giảm,6
Nice Clothes.,"Yêu thích+Quần short Unisex chất Umi ⚡ 𝐆𝐢́𝐚 𝐇𝐮̉𝐲 𝐃𝐢𝐞̣̂𝐭 ⚡ Quần đùi nam nữ có thêu chữ NAMELY là điểm nhấn, phong cách Ullzang",17162888399,4.9,"4,2k","14,9k",₫150.000,₫58.000,61% giảm,6
Nice Clothes.,"Yêu thích+Quần short unisex nam nữ chất cotton cao cấp có dập gân ở giữa, chất Umi co giãn nhẹ, mặc thoải mái",21772118973,4.9,"6,5k","33,4k",₫58.000,₫18.000,69% giảm,6
Nice Clothes.,"Yêu thích+Quần short unisex Dây+Túi bên ngoài, chất mát mền và không nhắn, phong cách ulzang",18288079383,4.8,689,"2,8k",₫45.000 - ₫130.000,₫35.000 - ₫69.000,22% giảm,6
Nice Clothes.,"Yêu thích+Quần short nam chất tổ ong - PHỐI SỌC + CHỮ NẰM NGANG -Quần đùi nam hottend, phong cách Ulzang",22822401095,4.9,"1,3k","5,1k",₫160.000,₫85.000,47% giảm,6
Nice Clothes.,"Yêu thích+Quần short Unisex ⚡ 𝐆𝐢́𝐚 𝐇𝐮̉𝐲 𝐃𝐢𝐞̣̂𝐭 ⚡ Quần đùi chất nỉ da cá, Nam nữ đều mặc được",9165738329,4.8,"9,2k","33,9k",₫110.000,₫69.000,37% giảm,6
Nice Clothes.,"Yêu thích+Quần short kaki nữ 3 màu cơ bản size 40-80kg, Nice Clothes",19389456113,4.9,"5,1k","24,6k",₫45.000 - ₫130.000,₫39.000 - ₫69.000,13% giảm,6
Nice Clothes.,"Yêu thích+Áo ba lỗ - Áo Tank Top unisex Thêu chữ Thập, 3 màu cơ bạn, đủ size 40-90 kg",23443505296,4.9,359,"1,4k",₫75.000 - ₫99.000,₫65.000 - ₫75.000,13% giảm,6
Nice Clothes.,"Yêu thích+Áo ba lỗ - Áo Tank Top unisex TRƠN co giãn thấm hút mồ hôi, chất liệu cotton siêu mát, đường may kĩ, hàng cao cấp",16230898294,4.8,"1,4k","7,3k",₫99.000,₫59.000,40% giảm,6
Nice Clothes.,"Yêu thích+Áo phông oversize Raglan, Áo thun phối tay form rộng nam nữ, Local Brand by Nice Clothes",22065569285,4.8,4k,"16,7k",₫150.000,₫79.000 - ₫85.000,47% giảm,6
Nice Clothes.,"Yêu thích+Áo thun tay lỡ - 𝗣𝗵𝗼̂́𝗶 𝗹𝗮𝘆𝗲𝗿 + 𝗶𝗻 𝗰𝗵𝘂̛̃ 𝗻𝗼̂̉𝗶 𝗙𝗹𝗼𝘄𝗲𝗿  - chất cotton thoáng mát và mềm mịn đi học ,đi chơi đều ok",22830347548,4.8,"1,3k","5,3k",₫160.000,₫81.000 - ₫89.000,49% giảm,6
Nice Clothes.,Yêu thích+Áo Polo Phối cổ SPION Local Brand polo unisex nam nữ oversize - KNC 192,20982633992,4.9,"10,9k","37,6k",₫190.000,₫87.000,54% giảm,6
